license_number	city	city_slug	name
306000961	Anaheim	anaheim	Walnut Village
197607606	Arleta	arleta	Nikkei Senior Gardens
306006242	Brea	brea	Capriana
306006344	Brea	brea	Cogir of Brea
197608998	Canoga Park	canoga-park	Canyon Trails at Topanga Senior Living
374603190	Carlsbad	carlsbad	Activcare at Bressi Ranch
374604411	Carlsbad	carlsbad	La Marea Senior Living
374601134	Carlsbad	carlsbad	Sunrise at la Costa
347005251	Carmichael	carmichael	Atria Carmichael Oaks
347000389	Carmichael	carmichael	Atria el Camino Gardens
374603431	Chula Vista	chula-vista	Activcare at Rolling Hills Ranch
374604544	Chula Vista	chula-vista	Bonita Villa Senior Living
374603402	Chula Vista	chula-vista	Fredericka Manor
374603509	Chula Vista	chula-vista	Westmont at San Miguel Ranch
342700471	Citrus Heights	citrus-heights	Cogir of Stock Ranch
198601672	Claremont	claremont	Claremont Manor
198603786	Claremont	claremont	Claremont Place
331880546	Corona	corona	Estancia del Sol
306004640	Costa Mesa	costa-mesa	Newport Mesa Senior Living
306005272	Costa Mesa	costa-mesa	Pacifica Senior Living South Coast
198320402	Culver City	culver-city	Westmont of Culver City
306006345	Dana Point	dana-point	Sea Bluffs, the
335530174	Eastvale	eastvale	A Silver Amore Senior Home
342700369	Elk Grove	elk-grove	Commons at Elk Grove, the
342701306	Elk Grove	elk-grove	Meadows Senior Living, the
342700722	Elk Grove	elk-grove	Wellquest of Elk Grove
374604227	Encinitas	encinitas	Summerfield of Encinitas
374603451	Escondido	escondido	Escondido Senior Living
374604545	Escondido	escondido	Gardens at Escondido
374604294	Escondido	escondido	Las Villas del Norte
374600566	Escondido	escondido	Redwood Terrace
374603462	Escondido	escondido	Villa Monticello Assisted Living
374603399	Escondido	escondido	Westmont of Escondido
374601685	Fallbrook	fallbrook	Regency Fallbrook
345002909	Folsom	folsom	Cogir of Folsom
342700902	Folsom	folsom	Folsom Countryhouse
306005513	Fountain Valley	fountain-valley	Carmel Village Retirement Community
306006017	Fullerton	fullerton	Ivy Terrace at Fullerton
306006019	Garden Grove	garden-grove	Ivy Terrace at Garden Grove
198603413	Glendale	glendale	Sage Glendale Senior Living
198603606	Glendora	glendora	Clearwater at Glendora
347001241	Gold River	gold-river	Eskaton Gold River Lodge
336426759	Hemet	hemet	Citrus Gardens
331800055	Hemet	hemet	Cottages at Hemet
336426760	Hemet	hemet	Hacienda Senior Living
331800223	Hemet	hemet	Yorkshire Village
306004796	Huntington Beach	huntington-beach	Huntington Terrace
306000752	Irvine	irvine	Atria Golden Creek
306005960	Irvine	irvine	Woodbridge Terrace
374604261	La Jolla	la-jolla	Avantgarde Senior Living of la Jolla
374604083	La Mesa	la-mesa	Montera, the
374604079	La Mesa	la-mesa	Westmont of la Mesa
331880511	La Quinta	la-quinta	Palms at la Quinta, the
306005986	Laguna Hills	laguna-hills	Activcare Laguna Hills
306006198	Laguna Niguel	laguna-niguel	Crestavilla
306006360	Laguna Niguel	laguna-niguel	Watermark Laguna Niguel
198320417	Long Beach	long-beach	Brittany House
198602567	Long Beach	long-beach	Regency Palms Long Beach
197608029	Long Beach	long-beach	Vista del Mar Senior Living
191800001	Los Angeles	los-angeles	Hollenbeck Palms
197609103	Los Angeles	los-angeles	Hollywood Hills Senior Living
198602192	Los Angeles	los-angeles	Sakura Gardens at los Angeles
191802082	Los Angeles	los-angeles	Solheim Senior Community
331881106	Menifee	menifee	Wellquest of Menifee Lakes
306000372	Mission Viejo	mission-viejo	Atria del Sol
306006248	Mission Viejo	mission-viejo	Morningstar Senior Living of Mission Viejo
197609594	Montrose	montrose	Sparr Heights Estates Senior Living
331881349	Moreno Valley	moreno-valley	Manzanita Village at Rancho Belago
331881582	Murrieta	murrieta	Murrieta Gardens
331800073	Murrieta	murrieta	Vineyard Place
306005789	Newport Beach	newport-beach	Atria Newport Beach
197610191	Northridge	northridge	Gardens at Northridge, the
374604806	Oceanside	oceanside	Everest at Oceanside
374604300	Oceanside	oceanside	Oceanside Senior Living
306005796	Orange	orange	Activcare Orange
306005835	Orange	orange	Kirkwood Orange
342700525	Orangevale	orangevale	Almond Heights
345002805	Orangevale	orangevale	Carlton Senior Living Orangevale
336400075	Palm Desert	palm-desert	Atria Hacienda
331880550	Palm Springs	palm-springs	Cottages at Palm Springs
198603566	Pasadena	pasadena	Astoria Park Senior Living
198603384	Pasadena	pasadena	Pasadena Highlands
191200037	Pasadena	pasadena	Regency Park Oak Knoll
336407734	Perris	perris	Pico de Loro
306006473	Placentia	placentia	Crescendo Senior Living
374604633	Poway	poway	Poway Gardens Senior Living - Mountain Vistas
331880734	Rancho Mirage	rancho-mirage	Atria Rancho Mirage
331881086	Rancho Mirage	rancho-mirage	Bayshire Rancho Mirage
336408433	Rancho Mirage	rancho-mirage	Vista Cove at Rancho Mirage
331880924	Riverside	riverside	Citrus Place
336425840	Riverside	riverside	Cottages at Riverside
335530134	Riverside	riverside	Gardens of Riverside, the
336403028	Riverside	riverside	Sunrise at Canyon Crest
331880776	Riverside	riverside	Westmont of Riverside
345002991	Roseville	roseville	Roseville Senior Living
347000985	Sacramento	sacramento	Golden Pond Retirement Community
342701107	Sacramento	sacramento	Regency Place
306006472	San Clemente	san-clemente	San Clemente Villas by the Sea
374603714	San Diego	san-diego	Activcare at 4s Ranch
374603584	San Diego	san-diego	Activcare at Mission Bay
374604542	San Diego	san-diego	Rancho Penasquitos Senior Living
374604323	San Diego	san-diego	Silvergate Rancho Bernardo
374604692	San Diego	san-diego	Westmont of Carmel Valley
306000347	San Juan Capistrano	san-juan-capistrano	Atria San Juan
306005946	San Juan Capistrano	san-juan-capistrano	Serra Sol
374600026	San Marcos	san-marcos	Silvergate San Marcos Retirement Residence
197608685	Santa Clarita	santa-clarita	Atria Santa Clarita
374603253	Santee	santee	Lantern Crest
300600816	Stanton	stanton	Rowntree Gardens
331881073	Sun City	sun-city	Menifee Senior Living
331881358	Sun City	sun-city	Sun City Gardens
336426083	Temecula	temecula	Atria Park of Vintage Hills
331881258	Temecula	temecula	Vineyard Ranch at Temecula
198603118	Torrance	torrance	Clearwater at South Bay
198320454	Torrance	torrance	Cogir of South Bay
306004718	Tustin	tustin	Groves of Tustin, the
197602434	Van Nuys	van-nuys	Gardens at Park Balboa, the
374604176	Vista	vista	Alta Vista Senior Living
374604134	Vista	vista	Rancho Vista Senior Living
198603504	Whittier	whittier	La Posada
195850546	Woodland Hills	woodland-hills	Savant of Woodland Hills
306005322	Yorba Linda	yorba-linda	Activcare at Yorba Linda